  1st Line of header 
  2nd Line of header 
  3rd Line of header 
                     
1,12,39988
2,9,39991
3,12,39988
4,9,39991
5,12,39988
6,9,39991
7,12,39988
8,9,39991
9,12,39988
10,9,39991
11,12,39988
12,9,39991
13,12,39988
14,9,39991
15,12,39988
16,9,39991
17,12,39988
18,9,39991
19,12,39988
20,9,39991
21,12,39988
22,9,39991
23,12,39988
24,9,39991
25,12,39988
26,9,39991
27,12,39988
28,9,39991
29,12,39988
30,9,39991
31,12,39988
32,9,39991
33,12,39988
34,9,39991
35,12,39988
36,9,39991
37,12,39988
38,9,39991
39,12,39988
40,9,39991
41,12,39988
42,9,39991
43,12,39988
44,9,39991
45,12,39988
46,9,39991
47,12,39988
48,9,39991
49,12,39988
50,9,39991
51,12,39988
52,9,39991
53,12,39988
54,9,39991
55,12,39988
56,9,39991
57,12,39988
58,9,39991
59,12,39988
60,9,39991
61,12,39988
62,9,39991
63,12,39988
64,9,39991
65,12,39988
66,9,39991
67,12,39988
68,9,39991
69,12,39988
70,9,39991
71,12,39988
72,9,39991
73,12,39988
74,9,39991
75,12,39988
76,9,39991
77,12,39988
78,9,39991
79,12,39988
80,9,39991
81,12,39988
82,9,39991
 
