  Conway's Game of Life Data 
  Format: Iteration number, total number of living cells, total number of dead cells, cells born this generation, no of cells that died this generation, activity * 100000 
                     
1,132825,227175,48975,57792,1111111111
2,126964,233036,45795,51656,-4412
3,123660,236340,43926,47230,-2602
4,120692,239308,42602,45570,-2400
5,118548,241452,41981,44125,-1776
6,116367,243633,40888,43069,-1839
7,114318,245682,40094,42143,-1760
8,112520,247480,39531,41329,-1572
9,111377,248623,39089,40232,-1015
10,109679,250321,38386,40084,-1524
11,109018,250982,38254,38915,-602
12,107700,252300,37563,38881,-1208
13,106718,253282,37054,38036,-911
14,105832,254168,36672,37558,-830
15,105200,254800,36629,37261,-597
16,103740,256260,36150,37610,-1387
17,103312,256688,36244,36672,-412
18,101518,258482,35142,36936,-1736
19,101513,258487,35167,35172,-4
20,101174,258826,35069,35408,-333
21,100333,259667,34688,35529,-831
22,99841,260159,34489,34981,-490
23,99319,260681,34374,34896,-522
24,98308,261692,33843,34854,-1017
25,97902,262098,33954,34360,-412
26,97524,262476,33674,34052,-386
27,96660,263340,33212,34076,-885
28,95894,264106,32811,33577,-792
29,95727,264273,33035,33202,-174
30,94823,265177,32456,33360,-944
31,94519,265481,32536,32840,-320
32,94107,265893,32241,32653,-435
33,93359,266641,31697,32445,-794
34,93424,266576,31689,31624,69
35,93295,266705,31905,32034,-138
36,93023,266977,31761,32033,-291
37,92704,267296,31633,31952,-342
38,92188,267812,31728,32244,-556
39,92444,267556,31840,31584,277
40,91549,268451,31170,32065,-968
41,91521,268479,31380,31408,-30
42,91594,268406,31452,31379,79
43,90830,269170,31245,32009,-834
44,90709,269291,31112,31233,-133
45,90981,269019,31157,30885,299
46,90123,269877,30860,31718,-943
47,90485,269515,30993,30631,401
48,89806,270194,30386,31065,-750
49,89694,270306,30591,30703,-124
50,89501,270499,30325,30518,-215
51,89151,270849,30143,30493,-391
52,89180,270820,30315,30286,32
53,88771,271229,30125,30534,-458
54,88747,271253,30232,30256,-27
55,88601,271399,30158,30304,-164
56,88233,271767,30022,30390,-415
57,87661,272339,29748,30320,-648
58,87236,272764,29544,29969,-484
59,87055,272945,29534,29715,-207
60,86571,273429,29267,29751,-555
61,86342,273658,29116,29345,-264
62,86240,273760,29173,29275,-118
63,86011,273989,28998,29227,-265
64,85888,274112,29133,29256,-143
65,85677,274323,29020,29231,-245
66,85582,274418,28837,28932,-110
67,85566,274434,28765,28781,-18
68,85245,274755,28684,29005,-375
69,84955,275045,28528,28818,-340
70,85077,274923,28676,28554,143
71,84496,275504,28378,28959,-682
72,85243,274757,28735,27988,884
73,85026,274974,28383,28600,-254
74,84917,275083,28699,28808,-128
75,84500,275500,28491,28908,-491
76,84045,275955,28208,28663,-538
77,84268,275732,28499,28276,265
78,84162,275838,28430,28536,-125
79,83687,276313,27987,28462,-564
80,83271,276729,28207,28623,-497
81,83316,276684,28119,28074,54
82,82492,277508,27770,28594,-989
83,83312,276688,28385,27565,994
84,82487,277513,27723,28548,-990
85,82642,277358,27907,27752,187
86,82336,277664,27378,27684,-370
87,82443,277557,27715,27608,129
88,82216,277784,27557,27784,-275
89,81682,278318,27387,27921,-649
90,81944,278056,27448,27186,320
91,81535,278465,27224,27633,-499
92,81561,278439,27404,27378,31
93,81216,278784,27251,27596,-422
94,81643,278357,27472,27045,525
95,81659,278341,27357,27341,19
96,81639,278361,27241,27261,-24
97,81789,278211,27349,27199,183
98,81590,278410,27099,27298,-243
99,81643,278357,27244,27191,64
100,81461,278539,27235,27417,-222
101,81442,278558,27228,27247,-23
102,81142,278858,27113,27413,-368
103,81344,278656,27430,27228,248
104,80859,279141,26807,27292,-596
105,81205,278795,27068,26722,427
106,80803,279197,26933,27335,-495
107,81061,278939,27177,26919,319
108,80530,279470,26894,27425,-655
109,81159,278841,27282,26653,781
110,80782,279218,26881,27258,-464
111,81102,278898,27195,26875,396
112,80412,279588,26775,27465,-850
113,80412,279588,26729,26729,0
114,80358,279642,26881,26935,-67
115,80379,279621,26724,26703,26
116,80850,279150,27119,26648,585
117,80468,279532,26787,27169,-472
118,80353,279647,26926,27041,-142
119,80329,279671,26982,27006,-29
120,79943,280057,26749,27135,-480
121,79835,280165,26904,27012,-135
122,79964,280036,26783,26654,161
123,80103,279897,26667,26528,173
124,79980,280020,26730,26853,-153
125,79814,280186,26567,26733,-207
126,79398,280602,26453,26869,-521
127,79967,280033,27036,26467,716
128,79427,280573,26474,27014,-675
129,79715,280285,26727,26439,362
130,79402,280598,26359,26672,-392
131,79658,280342,26549,26293,322
132,79432,280568,26184,26410,-283
133,79496,280504,26342,26278,80
134,79477,280523,26482,26501,-23
135,79596,280404,26662,26543,149
136,79145,280855,26473,26924,-566
137,78965,281035,26367,26547,-227
138,78698,281302,26412,26679,-338
139,78526,281474,26371,26543,-218
140,78889,281111,26395,26032,462
141,78668,281332,26279,26500,-280
142,78698,281302,26519,26489,38
143,78337,281663,26195,26556,-458
144,77649,282351,25955,26643,-878
145,77893,282107,25706,25462,314
146,77376,282624,25705,26222,-663
147,77521,282479,25591,25446,187
148,77479,282521,25808,25850,-54
149,77946,282054,26016,25549,602
150,77875,282125,25882,25953,-91
151,77955,282045,26034,25954,102
152,78227,281773,25971,25699,348
153,78078,281922,25800,25949,-190
154,78052,281948,25975,26001,-33
155,77708,282292,25877,26221,-440
156,78156,281844,26088,25640,576
157,77736,282264,25871,26291,-537
158,77806,282194,25891,25821,90
159,77472,282528,25558,25892,-429
160,77610,282390,25819,25681,178
161,77639,282361,25655,25626,37
162,77491,282509,25716,25864,-190
163,77420,282580,25747,25818,-91
164,77412,282588,25749,25757,-10
165,77450,282550,25862,25824,49
166,77342,282658,25706,25814,-139
167,77446,282554,25614,25510,134
168,77685,282315,25733,25494,308
169,77554,282446,25684,25815,-168
170,76938,283062,25372,25988,-794
171,76851,283149,25536,25623,-113
172,77166,282834,25594,25279,409
173,77161,282839,25627,25632,-6
174,77093,282907,25586,25654,-88
175,77134,282866,25701,25660,53
176,76987,283013,25552,25699,-190
177,77420,282580,25798,25365,562
178,77359,282641,25691,25752,-78
179,77321,282679,25523,25561,-49
180,76981,283019,25453,25793,-439
181,76814,283186,25564,25731,-216
182,76746,283254,25415,25483,-88
183,76728,283272,25514,25532,-23
184,76877,283123,25553,25404,194
185,76833,283167,25447,25491,-57
186,76706,283294,25344,25471,-165
187,76781,283219,25477,25402,97
188,76553,283447,25473,25701,-296
189,76934,283066,25573,25192,497
190,76840,283160,25507,25601,-122
191,77037,282963,25777,25580,256
192,76773,283227,25466,25730,-342
193,76956,283044,25745,25562,238
194,76841,283159,25572,25687,-149
195,76772,283228,25465,25534,-89
196,77036,282964,25490,25226,343
197,76822,283178,25391,25605,-277
198,77033,282967,25651,25440,274
199,76957,283043,25566,25642,-98
200,76890,283110,25537,25604,-87
201,77185,282815,25580,25285,383
202,77060,282940,25391,25516,-161
203,76623,283377,25328,25765,-567
204,76894,283106,25641,25370,353
205,77059,282941,25540,25375,214
206,76564,283436,25307,25802,-642
207,76696,283304,25466,25334,172
208,76811,283189,25618,25503,149
209,76814,283186,25432,25429,3
210,76717,283283,25326,25423,-126
211,76499,283501,25442,25660,-284
212,76369,283631,25505,25635,-169
213,76046,283954,25291,25614,-422
214,76181,283819,25210,25075,177
215,75866,284134,25279,25594,-413
216,76226,283774,25251,24891,474
217,76196,283804,25224,25254,-39
218,76175,283825,24931,24952,-27
219,75979,284021,25162,25358,-257
220,75881,284119,24980,25078,-128
221,75871,284129,25110,25120,-13
222,75728,284272,25044,25187,-188
223,75508,284492,24903,25123,-290
224,75530,284470,25012,24990,29
225,75672,284328,25086,24944,188
226,75441,284559,24827,25058,-305
227,75566,284434,25087,24962,165
228,75516,284484,24951,25001,-66
229,75905,284095,25048,24659,515
230,75583,284417,24987,25309,-424
231,76402,283598,25394,24575,1083
232,76010,283990,25001,25393,-513
233,76196,283804,25181,24995,244
234,76047,283953,25196,25345,-195
235,76279,283721,25349,25117,305
236,76083,283917,25182,25378,-256
237,76362,283638,25390,25111,366
238,76370,283630,25343,25335,10
239,76475,283525,25326,25221,137
